problem5

                                Max     Line search  Directional  First-order 
 Iter F-count        f(x)   constraint   steplength   derivative   optimality Procedure 
    0      1    -0.602978        2.503                                         Infeasible start point
    1      3    -0.601338       0.1594            1     0.000407         12.5   dependent
    2      5    -0.597647     0.003854            1       0.0126            8   dependent
    3      7    -0.597963    3.304e-05            1      -0.0254         7.92  Hessian modified;   dependent
   74    297    -0.610326    2.543e-06       0.0625    -0.000166         8.15  Hessian modified;   dependent
   75    303    -0.610327    2.723e-06       0.0625    -0.000174         8.15  Hessian modified;   dependent
   76    309    -0.610327    2.887e-06       0.0625    -0.000182         8.15  Hessian modified;   dependent
   77    314    -0.610328    3.815e-06        0.125    -0.000189         8.15  Hessian modified;   dependent
   78    319    -0.610329    4.459e-06        0.125     -0.00019         8.15  Hessian modified;   dependent
   79    324     -0.61033    4.856e-06        0.125    -0.000193         8.15  Hessian modified;   dependent
   80    328    -0.610332     6.77e-06         0.25    -0.000196         8.15  Hessian modified;   dependent
   81    332    -0.610334    7.173e-06         0.25    -0.000191         8.15  Hessian modified;   dependent
   82    335    -0.610339    8.457e-06          0.5     -0.00019         8.15  Hessian modified;   dependent
   83    337    -0.610346    2.202e-05            1    -0.000176         8.15  Hessian modified;   dependent
   84    339    -0.610352    1.541e-05            1    -0.000141         8.15  Hessian modified;   dependent
   85    341    -0.610357    1.353e-05            1    -0.000149         8.15  Hessian modified;   dependent
   86    344     -0.61036    1.225e-05          0.5    -0.000144         8.15  Hessian modified;   dependent
   87    348    -0.610362    1.258e-05         0.25    -0.000153         8.15  Hessian modified;   dependent
   88    353    -0.610364    1.247e-05        0.125    -0.000159         8.15  Hessian modified;   dependent
   89    358    -0.610365    1.306e-05        0.125    -0.000165         8.15  Hessian modified;   dependent
   90    363    -0.610366     1.41e-05        0.125    -0.000165         8.15  Hessian modified;   dependent
   91    368    -0.610368    1.528e-05        0.125    -0.000161         8.15  Hessian modified;   dependent
   92    373    -0.610369    1.638e-05        0.125    -0.000155         8.15  Hessian modified;   dependent
   93    378    -0.610371    1.726e-05        0.125    -0.000148         8.15  Hessian modified;   dependent
   94    383    -0.610372    1.784e-05        0.125    -0.000141         8.15  Hessian modified;   dependent
   95    388    -0.610373    1.811e-05        0.125    -0.000133         8.14  Hessian modified;   dependent
   96    393    -0.610374    1.811e-05        0.125    -0.000126         8.14  Hessian modified;   dependent
   97    398    -0.610375    1.787e-05        0.125    -0.000119         8.14  Hessian modified;   dependent
   98    403    -0.610376    1.792e-05        0.125    -0.000113         8.14  Hessian modified;   dependent
   99    408    -0.610377    1.793e-05        0.125    -0.000108         8.14  Hessian modified;   dependent
  100    413    -0.610378    1.765e-05        0.125    -0.000103         8.14  Hessian modified;   dependent
  101    418    -0.610379    1.715e-05        0.125    -9.92e-05         8.14  Hessian modified;   dependent
  102    422     -0.61038    1.878e-05         0.25    -9.57e-05         8.14  Hessian modified;   dependent
  103    426    -0.610381    1.855e-05         0.25    -8.71e-05         8.14  Hessian modified;   dependent
  104    430    -0.610382    1.726e-05         0.25    -8.06e-05         8.14  Hessian modified;   dependent
  105    433    -0.610383    1.861e-05          0.5    -7.57e-05         8.14  Hessian modified;   dependent
  106    436    -0.610385    1.494e-05          0.5    -6.37e-05         8.14  Hessian modified;   dependent
  107    438    -0.610387    1.684e-05            1     -5.8e-05         8.14  Hessian modified;   dependent
  108    440    -0.610388    7.987e-06            1    -4.36e-05         8.14  Hessian modified;   dependent
  109    442    -0.610389    4.997e-06            1    -5.16e-05         8.14  Hessian modified;   dependent
  110    444    -0.610391    4.587e-06            1    -6.51e-05         8.14  Hessian modified;   dependent
  111    446    -0.610393    7.429e-06            1    -8.59e-05         8.14  Hessian modified;   dependent
  112    448    -0.610396    7.471e-06            1    -0.000116         8.14  Hessian modified;   dependent
  113    450    -0.610401    7.016e-06            1    -0.000154         8.13  Hessian modified;   dependent
  114    452    -0.610406    1.032e-05            1    -0.000196         8.13  Hessian modified;   dependent
  115    454    -0.610412     2.25e-05            1    -0.000235         8.13  Hessian modified;   dependent
  116    456    -0.610419    3.257e-05            1    -0.000267         8.13  Hessian modified;   dependent
  117    458    -0.610425    3.961e-05            1     -0.00029         8.13  Hessian modified;   dependent
  118    460    -0.610432    4.361e-05            1    -0.000305         8.12  Hessian modified;   dependent
  119    462    -0.610439     4.45e-05            1    -0.000308         8.12  Hessian modified;   dependent
  120    464    -0.610446    4.252e-05            1    -0.000303         8.12  Hessian modified;   dependent
  121    466    -0.610453    3.872e-05            1     -0.00029         8.12  Hessian modified;   dependent
  122    468     -0.61046    3.455e-05            1    -0.000274         8.11  Hessian modified;   dependent
  123    470    -0.610466    3.122e-05            1    -0.000258         8.11  Hessian modified;   dependent
  124    472    -0.610473    2.931e-05            1    -0.000243         8.11  Hessian modified;   dependent
  125    474     -0.61048    2.889e-05            1    -0.000229          8.1  Hessian modified;   dependent
  126    476    -0.610487     2.97e-05            1    -0.000217          8.1  Hessian modified;   dependent
  127    478    -0.610493    3.129e-05            1    -0.000207          8.1  Hessian modified;   dependent
  128    480      -0.6105    3.312e-05            1    -0.000198          8.1  Hessian modified;   dependent
  129    482    -0.610507    3.467e-05            1    -0.000189         8.09  Hessian modified;   dependent
  130    484    -0.610514     3.56e-05            1    -0.000181         8.09  Hessian modified;   dependent
  131    486    -0.610521     3.58e-05            1    -0.000173         8.09  Hessian modified;   dependent
  132    488    -0.610527    3.536e-05            1    -0.000166         8.09  Hessian modified;   dependent
  133    490    -0.610534    3.449e-05            1     -0.00016         8.09  Hessian modified;   dependent
  134    492    -0.610538    3.841e-05            1    -0.000163         8.08  Hessian modified;   dependent
  135    495    -0.610539    3.607e-05          0.5    -0.000122         8.08  Hessian modified;   dependent
  136    498     -0.61054    3.637e-05          0.5    -0.000104         8.08  Hessian modified;   dependent
  137    501    -0.610541    3.181e-05          0.5    -8.69e-05         8.08  Hessian modified;   dependent
  138    504    -0.610541    2.661e-05          0.5    -7.89e-05         8.08  Hessian modified;   dependent
  139    507    -0.610542    2.225e-05          0.5    -7.76e-05         8.08  Hessian modified;   dependent
  140    510    -0.610542      1.9e-05          0.5    -8.01e-05         8.08  Hessian modified;   dependent
  141    513    -0.610543    1.661e-05          0.5    -8.34e-05         8.08  Hessian modified;   dependent
  142    516    -0.610543    1.467e-05          0.5    -8.49e-05         8.08  Hessian modified;   dependent
  143    519    -0.610544    1.282e-05          0.5    -8.36e-05         8.08  Hessian modified;   dependent
  144    522    -0.610544    1.092e-05          0.5    -7.95e-05         8.08  Hessian modified;   dependent
  145    525    -0.610545    8.966e-06          0.5    -7.37e-05         8.08  Hessian modified;   dependent
  146    527    -0.610545     1.05e-05            1    -6.73e-05         8.08  Hessian modified;   dependent
  147    529    -0.610546    6.287e-06            1    -5.05e-05         8.08  Hessian modified;   dependent
  148    531    -0.610546    4.055e-06            1     -4.3e-05         8.08  Hessian modified;   dependent
  149    533    -0.610547    2.921e-06            1    -3.83e-05         8.08  Hessian modified;   dependent
  150    535    -0.610547    2.345e-06            1    -3.55e-05         8.07  Hessian modified;   dependent
  151    537    -0.610547     2.05e-06            1    -3.37e-05         8.07  Hessian modified;   dependent
  152    539    -0.610547    1.918e-06            1    -3.28e-05         8.07  Hessian modified;   dependent
  153    541    -0.610547    1.907e-06            1     -3.3e-05         8.07  Hessian modified;   dependent
  154    543    -0.610547    1.993e-06            1    -3.43e-05         8.07  Hessian modified;   dependent
  155    545    -0.610547    2.143e-06            1    -3.66e-05         8.07  Hessian modified;   dependent
  156    547    -0.610548    2.302e-06            1    -3.99e-05         8.07  Hessian modified;   dependent
  157    549    -0.610548    2.417e-06            1     -4.4e-05         8.07  Hessian modified;   dependent
  158    551    -0.610548    2.452e-06            1     -4.9e-05         8.07  Hessian modified;   dependent
  159    553    -0.610548    2.386e-06            1    -5.52e-05         8.07  Hessian modified;   dependent
  160    555    -0.610549    2.197e-06            1    -6.23e-05         8.07  Hessian modified;   dependent
  161    557    -0.610549    1.859e-06            1    -7.02e-05         8.07  Hessian modified;   dependent
  162    559    -0.610549    1.358e-06            1    -7.77e-05         8.07  Hessian modified;   dependent
  163    561     -0.61055    8.323e-07            1    -8.37e-05         8.07  Hessian modified;   dependent
  164    563     -0.61055    9.357e-07            1    -8.68e-05         8.07  Hessian modified;   dependent
  165    565    -0.610551    1.082e-06            1    -8.61e-05         8.07  Hessian modified;   dependent
  166    567    -0.610551    1.144e-06            1    -8.17e-05         8.07  Hessian modified;   dependent
  167    569    -0.610552    1.102e-06            1    -7.43e-05         8.07  Hessian modified;   dependent
  168    571    -0.610552    9.686e-07            1    -6.53e-05         8.07  Hessian modified;   dependent
  169    573    -0.610553    7.796e-07            1    -5.58e-05         8.07  Hessian modified;   dependent
  170    575    -0.610553    6.787e-07            1     -4.7e-05         8.07  Hessian modified;   dependent
  171    577    -0.610553    6.471e-07            1    -3.96e-05         8.07  Hessian modified;   dependent
  172    579    -0.610554    5.772e-07            1    -3.38e-05         8.07  Hessian modified;   dependent
  173    581    -0.610554    4.963e-07            1    -2.97e-05         8.07  Hessian modified;   dependent
  174    583    -0.610554    4.242e-07            1    -2.73e-05         8.07  Hessian modified;   dependent
  175    585    -0.610554     4.09e-07            1    -2.64e-05         8.07  Hessian modified;   dependent
  176    587    -0.610554    4.091e-07            1     -2.7e-05         8.07  Hessian modified;   dependent
  177    589    -0.610554    4.223e-07            1    -2.92e-05         8.07  Hessian modified;   dependent
  178    591    -0.610555    4.446e-07            1    -3.31e-05         8.07  Hessian modified;   dependent
  179    593    -0.610555    5.867e-07            1    -3.91e-05         8.07  Hessian modified;   dependent
  180    595    -0.610555    8.516e-07            1    -4.77e-05         8.07  Hessian modified;   dependent
  181    597    -0.610556    1.119e-06            1    -5.94e-05         8.07  Hessian modified;   dependent
  182    599    -0.610556    1.287e-06            1    -7.47e-05         8.07  Hessian modified;   dependent
  183    601    -0.610557    1.215e-06            1    -9.29e-05         8.07  Hessian modified;   dependent
  184    603    -0.610558    1.162e-06            1    -0.000112         8.07  Hessian modified;   dependent
  185    605    -0.610559    1.201e-06            1    -0.000127         8.07  Hessian modified;   dependent
  186    607     -0.61056    1.241e-06            1    -0.000134         8.06  Hessian modified;   dependent
  187    609    -0.610561    1.444e-06            1    -0.000134         8.06  Hessian modified;   dependent
  188    611    -0.610561    1.881e-06            1    -0.000128         8.06  Hessian modified;   dependent
  189    613    -0.610562    2.003e-06            1    -0.000119         8.06  Hessian modified;   dependent
  190    615    -0.610563    1.877e-06            1     -0.00011         8.06  Hessian modified;   dependent
  191    617    -0.610563     1.61e-06            1    -0.000102         8.06  Hessian modified;   dependent
  192    619    -0.610564    1.294e-06            1    -9.57e-05         8.06  Hessian modified;   dependent
  193    621    -0.610564    9.908e-07            1    -9.07e-05         8.06  Hessian modified;   dependent
  194    623    -0.610565    7.263e-07            1     -8.7e-05         8.06  Hessian modified;   dependent
  195    625    -0.610565    5.366e-07            1    -8.41e-05         8.06  Hessian modified;   dependent
  196    627    -0.610566    5.296e-07            1    -8.18e-05         8.06  Hessian modified;   dependent
  197    629    -0.610566    5.352e-07            1    -7.97e-05         8.05  Hessian modified;   dependent
  198    631    -0.610566    5.515e-07            1    -7.78e-05         8.05  Hessian modified;   dependent
  199    633    -0.610567    5.806e-07            1    -7.62e-05         8.05  Hessian modified;   dependent
  200    635    -0.610567    6.133e-07            1    -7.49e-05         8.05  Hessian modified;   dependent
  201    637    -0.610568     6.52e-07            1    -7.38e-05         8.05  Hessian modified;   dependent
  202    639    -0.610568    7.125e-07            1    -7.29e-05         8.05  Hessian modified;   dependent
  203    641    -0.610569    7.751e-07            1    -7.22e-05         8.05  Hessian modified;   dependent
  204    643    -0.610569    8.332e-07            1    -7.15e-05         8.05  Hessian modified;   dependent
  205    645     -0.61057    8.809e-07            1    -7.09e-05         8.05  Hessian modified;   dependent
  206    647     -0.61057    9.157e-07            1    -7.01e-05         8.05  Hessian modified;   dependent
  207    649    -0.610571    9.361e-07            1    -6.93e-05         8.05  Hessian modified;   dependent
  208    651    -0.610571    1.162e-06            1    -6.83e-05         8.05  Hessian modified;   dependent
  209    653    -0.610572    1.385e-06            1    -6.72e-05         8.05  Hessian modified;   dependent
  210    655    -0.610572    1.566e-06            1     -6.6e-05         8.05  Hessian modified;   dependent
  211    657    -0.610573    1.696e-06            1    -6.48e-05         8.05  Hessian modified;   dependent
  212    659    -0.610573    1.769e-06            1    -6.36e-05         8.05  Hessian modified;   dependent
  213    661    -0.610574    1.789e-06            1    -6.25e-05         8.05  Hessian modified;   dependent
  214    663    -0.610574    1.763e-06            1    -6.16e-05         8.05  Hessian modified;   dependent
  215    665    -0.610574      1.7e-06            1    -6.08e-05         8.04  Hessian modified;   dependent
  216    667    -0.610575    1.611e-06            1    -6.02e-05         8.04  Hessian modified;   dependent
  217    669    -0.610575    1.504e-06            1    -5.98e-05         8.04  Hessian modified;   dependent
  218    671    -0.610576    1.386e-06            1    -5.95e-05         8.04  Hessian modified;   dependent
  219    673    -0.610576    1.263e-06            1    -5.94e-05         8.04  Hessian modified;   dependent
  220    675    -0.610576    1.138e-06            1    -5.94e-05         8.04  Hessian modified;   dependent
  221    677    -0.610577    1.014e-06            1    -5.94e-05         8.04  Hessian modified;   dependent
  222    679    -0.610577    8.935e-07            1    -5.93e-05         8.04  Hessian modified;   dependent
  223    681    -0.610577    7.783e-07            1    -5.92e-05         8.04  Hessian modified;   dependent
  224    683    -0.610578    6.706e-07            1    -5.89e-05         8.04  Hessian modified;   dependent
  225    685    -0.610578    5.724e-07            1    -5.85e-05         8.04  Hessian modified;   dependent
  226    687    -0.610578    5.227e-07            1    -5.79e-05         8.04  Hessian modified;   dependent
  227    689    -0.610579     5.07e-07            1    -5.71e-05         8.04  Hessian modified;   dependent
  228    691    -0.610579    4.907e-07            1    -5.61e-05         8.04  Hessian modified;   dependent
  229    693    -0.610579    4.744e-07            1    -5.51e-05         8.04  Hessian modified;   dependent
  230    695     -0.61058    4.584e-07            1    -5.39e-05         8.04  Hessian modified;   dependent
  231    697     -0.61058    4.433e-07            1    -5.27e-05         8.04  Hessian modified;   dependent
  232    699     -0.61058    4.301e-07            1    -5.15e-05         8.04  Hessian modified;   dependent
  233    701    -0.610581    4.169e-07            1    -5.03e-05         8.04  Hessian modified;   dependent
  234    703    -0.610581    4.061e-07            1    -4.92e-05         8.04  Hessian modified;   dependent
  235    705    -0.610581    3.969e-07            1    -4.81e-05         8.03  Hessian modified;   dependent
  236    707    -0.610582    3.894e-07            1    -4.71e-05         8.03  Hessian modified;   dependent
  237    709    -0.610582    3.833e-07            1    -4.61e-05         8.03  Hessian modified;   dependent
  238    711    -0.610582    3.783e-07            1    -4.52e-05         8.03  Hessian modified;   dependent
  239    713    -0.610582    4.046e-07            1    -4.43e-05         8.03  Hessian modified;   dependent
  240    715    -0.610583    4.448e-07            1    -4.35e-05         8.03  Hessian modified;   dependent
  241    717    -0.610583    4.849e-07            1    -4.27e-05         8.03  Hessian modified;   dependent
  242    719    -0.610583    5.234e-07            1    -4.19e-05         8.03  Hessian modified;   dependent
  243    721    -0.610583    5.588e-07            1    -4.12e-05         8.03  Hessian modified;   dependent
  244    723    -0.610583    5.895e-07            1    -4.05e-05         8.03  Hessian modified;   dependent
  245    725    -0.610584    6.146e-07            1    -3.97e-05         8.03  Hessian modified;   dependent
  246    727    -0.610584     6.33e-07            1     -3.9e-05         8.03  Hessian modified;   dependent
  247    729    -0.610584    6.442e-07            1    -3.82e-05         8.03  Hessian modified;   dependent
  248    731    -0.610584    6.482e-07            1    -3.75e-05         8.03  Hessian modified;   dependent
  249    733    -0.610584    6.452e-07            1    -3.67e-05         8.03  Hessian modified;   dependent
  250    735    -0.610585    6.358e-07            1     -3.6e-05         8.03  Hessian modified;   dependent
  251    737    -0.610585    6.207e-07            1    -3.53e-05         8.03  Hessian modified;   dependent
  252    739    -0.610585     6.01e-07            1    -3.46e-05         8.03  Hessian modified;   dependent
  253    741    -0.610585    5.775e-07            1     -3.4e-05         8.03  Hessian modified;   dependent
  254    743    -0.610585    5.513e-07            1    -3.33e-05         8.03  Hessian modified;   dependent
  255    745    -0.610585    5.233e-07            1    -3.27e-05         8.03  Hessian modified;   dependent
  256    747    -0.610586    4.943e-07            1    -3.22e-05         8.03  Hessian modified;   dependent
  257    749    -0.610586     4.65e-07            1    -3.16e-05         8.03  Hessian modified;   dependent
  258    751    -0.610586     4.36e-07            1     -3.1e-05         8.03  Hessian modified;   dependent
  259    753    -0.610586    4.077e-07            1    -3.05e-05         8.03  Hessian modified;   dependent
  260    755    -0.610586    3.805e-07            1       -3e-05         8.03  Hessian modified;   dependent
  261    757    -0.610586    3.548e-07            1    -2.94e-05         8.03  Hessian modified;   dependent
  262    759    -0.610586    3.307e-07            1    -2.89e-05         8.03  Hessian modified;   dependent
  263    761    -0.610587    3.085e-07            1    -2.84e-05         8.02  Hessian modified;   dependent
  264    763    -0.610587    2.883e-07            1    -2.78e-05         8.02  Hessian modified;   dependent
  265    765    -0.610587      2.7e-07            1    -2.73e-05         8.02  Hessian modified;   dependent
  266    767    -0.610587    2.538e-07            1    -2.67e-05         8.02  Hessian modified;   dependent
  267    769    -0.610587    2.395e-07            1    -2.62e-05         8.02  Hessian modified;   dependent
  268    771    -0.610587    2.272e-07            1    -2.56e-05         8.02  Hessian modified;   dependent
  269    773    -0.610587    2.166e-07            1    -2.51e-05         8.02  Hessian modified;   dependent
  270    775    -0.610587    2.076e-07            1    -2.45e-05         8.02  Hessian modified;   dependent
  271    777    -0.610587    2.001e-07            1     -2.4e-05         8.02  Hessian modified;   dependent
  272    779    -0.610587    1.938e-07            1    -2.34e-05         8.02  Hessian modified;   dependent
  273    781    -0.610587    1.887e-07            1    -2.29e-05         8.02  Hessian modified;   dependent
  274    783    -0.610588    1.845e-07            1    -2.24e-05         8.02  Hessian modified;   dependent
  275    785    -0.610588     1.81e-07            1    -2.19e-05         8.02  Hessian modified;   dependent
  276    787    -0.610588    1.781e-07            1    -2.14e-05         8.02  Hessian modified;   dependent
  277    789    -0.610588    1.754e-07            1     -2.1e-05         8.02  Hessian modified;   dependent
  278    791    -0.610588     1.73e-07            1    -2.05e-05         8.02  Hessian modified;   dependent
  279    793    -0.610588    1.706e-07            1       -2e-05         8.02  Hessian modified;   dependent
  280    795    -0.610588    1.681e-07            1    -1.96e-05         8.02  Hessian modified;   dependent
  281    797    -0.610588    1.655e-07            1    -1.92e-05         8.02  Hessian modified;   dependent
  282    799    -0.610588    1.625e-07            1    -1.88e-05         8.02  Hessian modified;   dependent
  283    801    -0.610588    1.592e-07            1    -1.84e-05         8.02  Hessian modified;   dependent
  284    803    -0.610588    1.555e-07            1     -1.8e-05         8.02  Hessian modified;   dependent
  285    805    -0.610588    1.514e-07            1    -1.76e-05         8.02  Hessian modified;   dependent
  286    807    -0.610588    1.469e-07            1    -1.73e-05         8.02  Hessian modified;   dependent
  287    809    -0.610588    1.421e-07            1    -1.69e-05         8.02  Hessian modified;   dependent
  288    811    -0.610588     1.37e-07            1    -1.66e-05         8.02  Hessian modified;   dependent
  289    813    -0.610588    1.316e-07            1    -1.63e-05         8.02  Hessian modified;   dependent
  290    815    -0.610588     1.26e-07            1    -1.59e-05         8.02  Hessian modified;   dependent
  291    817    -0.610588    1.203e-07            1    -1.56e-05         8.02  Hessian modified;   dependent
  292    819    -0.610589    1.145e-07            1    -1.53e-05         8.02  Hessian modified;   dependent
  293    821    -0.610589    1.087e-07            1     -1.5e-05         8.02  Hessian modified;   dependent
  294    823    -0.610589     1.03e-07            1    -1.48e-05         8.02  Hessian modified;   dependent
  295    825    -0.610589    9.744e-08            1    -1.45e-05         8.02  Hessian modified;   dependent
Optimization terminated: directional derivative predicts change in
  objective value less than options.TolFun and maximum constraint violation
  is less than options.TolCon.
Active inequalities (to within options.TolCon = 1e-07):
  lower      upper     ineqlin   ineqnonlin
   16         10          4           
   76                     7           
                         73           
                        139           
                        146           
                        152           
                        219           

optimout = 

        nlpx: [81x1 double]
        fval: -0.6106
    exitflag: 5
      output: [1x1 struct]
      lambda: [1x1 struct]
        grad: [81x1 double]
     hessian: [81x81 double]
           t: [12x1 double]
           u: [12x1 double]
           p: []


optimparam = 

     optvar: 3
    objtype: []
      ncolx: 5
      ncolu: 2
         li: [3x1 double]
         tf: 1
         ui: [7.3500 7.3500 7.3500]
        par: []
        bdu: [6.2813 8.3894]
        bdx: [4x2 double]
        bdp: []
     objfun: @objfun
     confun: []
    process: @process
    options: [1x1 struct]
        bdt: [1.0000e-03 1]
         ni: 3
         nu: 1
         nx: 4
         np: 0
        tau: [7x1 double]
        lfx: [7x6 double]
       dlfx: [7x6 double]
        lfu: [7x2 double]
          M: [4x4 double]
     dt_col: 3
     du_col: 6
     dx_col: 72
     dp_col: 0

diary off
